,political_distance,max_distance,hbdi
deepseek,0.47837676149632546,0.6035160705308822,0.7926495827617679
llama,0.023748672439706908,0.7755360571929587,0.030622267294269822
qwen,0.00279884153260479,0.1316116439386723,0.021265911197864674
