,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
deepseek,0.47837676149632546,0.5762708293157062,0.25166950433168345,0.037588536480694934,0.26093856683153227,0.3356900822033715,0.3866410131377046,0.6035160705308822,0.3344950312364594,0.05632347855160735
llama,0.023748672439706908,0.1087758992766521,0.7755360571929587,0.08245331853922422,0.16031672794327734,0.18406033128103383,0.7356158391544445,0.12301397232552758,0.14628238289279005,0.45320068025399873
qwen,0.00279884153260479,0.01828314115230445,0.0060698714277520605,0.1316116439386723,0.12469153707356029,0.01719005877902191,0.0038333420745930713,0.08309628400345259,0.029655527494087064,0.0010891091040895473
